年度,地區別,月投保薪資等級,投保人數
2022,高雄市,45800,67352
2022,高雄市,48200,18949
2022,高雄市,50600,16836
2022,高雄市,53000,14046
2022,高雄市,55400,12765
2022,高雄市,57800,10588
2022,高雄市,60800,12672
2022,高雄市,63800,10478
2022,高雄市,66800,8992
2022,高雄市,69800,7220
2022,高雄市,72800,83591
2022,基隆市,25250,52426
2022,基隆市,26400,2284
2022,基隆市,27600,3133
2022,基隆市,28800,1895
2022,基隆市,30300,4794
2022,基隆市,31800,1864
2022,基隆市,33300,2379
2022,基隆市,34800,3561
2022,基隆市,36300,2520
2022,基隆市,38200,4090
2022,基隆市,40100,2360
2022,基隆市,42000,1540
2022,基隆市,43900,3847
2022,基隆市,45800,10092
2022,基隆市,48200,1436
2022,基隆市,50600,1037
2022,基隆市,53000,809
2022,基隆市,55400,706
2022,基隆市,57800,582
2022,基隆市,60800,627
2022,基隆市,63800,490
2022,基隆市,66800,444
2022,基隆市,69800,421
2022,基隆市,72800,5703
2022,連江縣,25250,1263
2022,連江縣,26400,33
2022,連江縣,27600,9
2022,連江縣,28800,69
2022,連江縣,30300,193
2022,連江縣,31800,48
2022,連江縣,33300,86
2022,連江縣,34800,88
2022,連江縣,36300,92
2022,連江縣,38200,92
2022,連江縣,40100,157
2022,連江縣,42000,35
2022,連江縣,43900,82
2022,連江縣,45800,252
2022,連江縣,48200,172
2022,連江縣,50600,51
2022,連江縣,53000,40
2022,連江縣,55400,58
2022,連江縣,57800,40
2022,連江縣,60800,22
2022,連江縣,63800,26
2022,連江縣,66800,46
2022,連江縣,69800,11
2022,連江縣,72800,156
2022,雲林縣,25250,121278
2022,雲林縣,26400,5479
2022,雲林縣,27600,6432
2022,雲林縣,28800,4550
2022,雲林縣,30300,11709
2022,雲林縣,31800,3807
2022,雲林縣,33300,4492
2022,雲林縣,34800,5844
2022,雲林縣,36300,4475
2022,雲林縣,38200,6560
2022,雲林縣,40100,4390
2022,雲林縣,42000,3465
2022,雲林縣,43900,5268
2022,雲林縣,45800,13577
2022,雲林縣,48200,2516
2022,雲林縣,50600,2205
2022,雲林縣,53000,2099
2022,雲林縣,55400,2146
2022,雲林縣,57800,1783
2022,雲林縣,60800,1981
2022,雲林縣,63800,1679
2022,雲林縣,66800,1519
2022,雲林縣,69800,1599
2022,雲林縣,72800,15354
2022,新北市,25250,581154
2022,新北市,26400,41366
2022,新北市,27600,42305
2022,新北市,28800,45275
2022,新北市,30300,74467
2022,新北市,31800,40397
2022,新北市,33300,52646
2022,新北市,34800,50617
2022,新北市,36300,51963
2022,新北市,38200,52810
2022,新北市,40100,47870
2022,新北市,42000,35663
2022,新北市,43900,40348
2022,新北市,45800,95111
2022,新北市,48200,28296
2022,新北市,50600,24806
2022,新北市,53000,20674
2022,新北市,55400,17925
2022,新北市,57800,14485
2022,新北市,60800,18778
2022,新北市,63800,14379
2022,新北市,66800,13078
2022,新北市,69800,10288
2022,新北市,72800,132516
2022,新竹市,25250,76908
2022,新竹市,26400,4968
2022,新竹市,27600,6204
2022,新竹市,28800,5534
2022,新竹市,30300,10103
2022,新竹市,31800,6538
2022,新竹市,33300,8979
2022,新竹市,34800,9893
2022,新竹市,36300,9430
2022,新竹市,38200,12482
2022,新竹市,40100,10989
2022,新竹市,42000,9675
2022,新竹市,43900,10731
2022,新竹市,45800,17351
2022,新竹市,48200,10379
2022,新竹市,50600,9824
2022,新竹市,53000,9051
2022,新竹市,55400,8381
2022,新竹市,57800,7814
2022,新竹市,60800,11324
2022,新竹市,63800,9748
2022,新竹市,66800,8684
2022,新竹市,69800,7669
2022,新竹市,72800,138533
2022,新竹縣,25250,76553
2022,新竹縣,26400,4877
2022,新竹縣,27600,5693
2022,新竹縣,28800,6801
2022,新竹縣,30300,11371
2022,新竹縣,31800,7585
2022,新竹縣,33300,9390
2022,新竹縣,34800,8624
2022,新竹縣,36300,9552
2022,新竹縣,38200,10564
2022,新竹縣,40100,10129
2022,新竹縣,42000,8390
2022,新竹縣,43900,8659
2022,新竹縣,45800,15297
2022,新竹縣,48200,8332
2022,新竹縣,50600,7659
2022,新竹縣,53000,6472
2022,新竹縣,55400,5619
2022,新竹縣,57800,4771
2022,新竹縣,60800,6021
2022,新竹縣,63800,4814
2022,新竹縣,66800,4287
2022,新竹縣,69800,3717
2022,新竹縣,72800,48762
2022,嘉義市,25250,68109
2022,嘉義市,26400,3091
2022,嘉義市,27600,3648
2022,嘉義市,28800,2478
2022,嘉義市,30300,5181
2022,嘉義市,31800,1867
2022,嘉義市,33300,2294
2022,嘉義市,34800,4226
2022,嘉義市,36300,2624
2022,嘉義市,38200,4045
2022,嘉義市,40100,1891
2022,嘉義市,42000,1285
2022,嘉義市,43900,2945
2022,嘉義市,45800,9915
2022,嘉義市,48200,998
2022,嘉義市,50600,798
2022,嘉義市,53000,673
2022,嘉義市,55400,634
2022,嘉義市,57800,482
2022,嘉義市,60800,623
2022,嘉義市,63800,536
2022,嘉義市,66800,430
2022,嘉義市,69800,305
2022,嘉義市,72800,4933
2022,嘉義縣,25250,58128
2022,嘉義縣,26400,3260
2022,嘉義縣,27600,3869
2022,嘉義縣,28800,3443
2022,嘉義縣,30300,5445
2022,嘉義縣,31800,2661
2022,嘉義縣,33300,5460
2022,嘉義縣,34800,3321
2022,嘉義縣,36300,2994
2022,嘉義縣,38200,3666
2022,嘉義縣,40100,2579
2022,嘉義縣,42000,2164
2022,嘉義縣,43900,2511
2022,嘉義縣,45800,6842
2022,嘉義縣,48200,1636
2022,嘉義縣,50600,1439
2022,嘉義縣,53000,1123
2022,嘉義縣,55400,876
2022,嘉義縣,57800,827
2022,嘉義縣,60800,793
2022,嘉義縣,63800,899
2022,嘉義縣,66800,1136
2022,嘉義縣,69800,1108
2022,嘉義縣,72800,6285
2022,彰化縣,25250,243882
2022,彰化縣,26400,13565
2022,彰化縣,27600,14734
2022,彰化縣,28800,14794
2022,彰化縣,30300,19171
2022,彰化縣,31800,11382
2022,彰化縣,33300,11441
2022,彰化縣,34800,13950
2022,彰化縣,36300,14218
2022,彰化縣,38200,12271
2022,彰化縣,40100,9720
2022,彰化縣,42000,7399
2022,彰化縣,43900,9932
2022,彰化縣,45800,21405
2022,彰化縣,48200,4966
2022,彰化縣,50600,4222
2022,彰化縣,53000,3586
2022,彰化縣,55400,3113
2022,彰化縣,57800,2581
2022,彰化縣,60800,2887
2022,彰化縣,63800,2186
2022,彰化縣,66800,1910
2022,彰化縣,69800,1382
2022,彰化縣,72800,22216
2022,臺中市,25250,572966
2022,臺中市,26400,40641
2022,臺中市,27600,41392
2022,臺中市,28800,44862
2022,臺中市,30300,63884
2022,臺中市,31800,33825
2022,臺中市,33300,42847
2022,臺中市,34800,45586
2022,臺中市,36300,40502
2022,臺中市,38200,43267
2022,臺中市,40100,35668
2022,臺中市,42000,27294
2022,臺中市,43900,30982
2022,臺中市,45800,64189
2022,臺中市,48200,20193
2022,臺中市,50600,17142
2022,臺中市,53000,14722
2022,臺中市,55400,12961
2022,臺中市,57800,10957
2022,臺中市,60800,13217
2022,臺中市,63800,10858
2022,臺中市,66800,9490
2022,臺中市,69800,7774
2022,臺中市,72800,93248
2022,臺北市,25250,611127
2022,臺北市,26400,42704
2022,臺北市,27600,47637
2022,臺北市,28800,55683
2022,臺北市,30300,93809
2022,臺北市,31800,55979
2022,臺北市,33300,82724
2022,臺北市,34800,70822
2022,臺北市,36300,85586
2022,臺北市,38200,90862
2022,臺北市,40100,85633
2022,臺北市,42000,73512
2022,臺北市,43900,69853
2022,臺北市,45800,132224
2022,臺北市,48200,70010
2022,臺北市,50600,65522
2022,臺北市,53000,56086
2022,臺北市,55400,50465
2022,臺北市,57800,42409
2022,臺北市,60800,55591
2022,臺北市,63800,44629
2022,臺北市,66800,40908
2022,臺北市,69800,34832
2022,臺北市,72800,416608
2022,臺東縣,25250,24183
2022,臺東縣,26400,1368
2022,臺東縣,27600,1594
2022,臺東縣,28800,1428
2022,臺東縣,30300,2214
2022,臺東縣,31800,1089
2022,臺東縣,33300,1508
2022,臺東縣,34800,1540
2022,臺東縣,36300,1411
2022,臺東縣,38200,1732
2022,臺東縣,40100,1261
2022,臺東縣,42000,857
2022,臺東縣,43900,1137
2022,臺東縣,45800,2624
2022,臺東縣,48200,500
2022,臺東縣,50600,507
2022,臺東縣,53000,388
2022,臺東縣,55400,261
2022,臺東縣,57800,241
2022,臺東縣,60800,256
2022,臺東縣,63800,211
2022,臺東縣,66800,145
2022,臺東縣,69800,147
2022,臺東縣,72800,1949
2022,臺南市,25250,351136
2022,臺南市,26400,21841
2022,臺南市,27600,31338
2022,臺南市,28800,23195
2022,臺南市,30300,38973
2022,臺南市,31800,20917
2022,臺南市,33300,30135
2022,臺南市,34800,25266
2022,臺南市,36300,20496
2022,臺南市,38200,25238
2022,臺南市,40100,18707
2022,臺南市,42000,15513
2022,臺南市,43900,19063
2022,臺南市,45800,37910
2022,臺南市,48200,12215
2022,臺南市,50600,10335
2022,臺南市,53000,9049
2022,臺南市,55400,8193
2022,臺南市,57800,6950
2022,臺南市,60800,7906
2022,臺南市,63800,6399
2022,臺南市,66800,5201
2022,臺南市,69800,4245
2022,臺南市,72800,47598
2022,澎湖縣,25250,19423
2022,澎湖縣,26400,628
2022,澎湖縣,27600,1210
2022,澎湖縣,28800,408
2022,澎湖縣,30300,1302
2022,澎湖縣,31800,300
2022,澎湖縣,33300,369
2022,澎湖縣,34800,1123
2022,澎湖縣,36300,395
2022,澎湖縣,38200,3137
2022,澎湖縣,40100,358
2022,澎湖縣,42000,222
2022,澎湖縣,43900,510
2022,澎湖縣,45800,1596
2022,澎湖縣,48200,336
2022,澎湖縣,50600,193
2022,澎湖縣,53000,233
2022,澎湖縣,55400,194
2022,澎湖縣,57800,119
2022,澎湖縣,60800,111
2022,澎湖縣,63800,98
2022,澎湖縣,66800,55
2022,澎湖縣,69800,45
2022,澎湖縣,72800,773
2022,其他,25250,2054
2022,其他,30300,271
2022,其他,34800,106
2022,其他,40100,120
2022,其他,45800,856
